"occID","scientific_name","longitude","latitude","country","state_province","locality","year","record_type","catalog_number","institution_code","elevation","uncertainty","cells","bio01","bio02","bio04","bio07","bio12"
143,"Salamandra salamandra (Linnaeus, 1758)",-8.23573,40.89946,"Portugal","Aveiro",NA,2024,"HUMAN_OBSERVATION","197676910","iNaturalist",NA,6,62264,14.6492801721122,10.3703023865805,497.123877877011,24.5599760666312,979.789916180794
145,"Salamandra salamandra (Linnaeus, 1758)",-8.75024,37.80135,"Portugal","Beja",NA,2024,"HUMAN_OBSERVATION","197697551","iNaturalist",NA,4,66583,18.4409965885134,5.53922527046322,395.695371933458,16.6114407293858,388.124483805189
153,"Salamandra salamandra (Linnaeus, 1758)",-7.82762,42.29794,"Spain","Galicia",NA,2024,"HUMAN_OBSERVATION","197800138","iNaturalist",NA,4,60105,11.9784838572038,9.8682024702543,447.35035063859,22.7310025207419,1323.35183966292
155,"Salamandra salamandra (Linnaeus, 1758)",6.71359,46.40234,"Switzerland","Vaud",NA,2024,"HUMAN_OBSERVATION","197809663","iNaturalist",NA,26999,54374,7.59915298279996,8.54978790927634,570.429941151372,23.9225598461919,1477.53614014359
161,"Salamandra salamandra (Linnaeus, 1758)",4.478,48.33264,"France","Champagne-Ardenne",NA,2024,"HUMAN_OBSERVATION","198044455","iNaturalist",NA,9,51489,11.2042622737765,8.48611329840904,512.436639707435,21.5573766512269,1090.19489389988
164,"Salamandra salamandra (Linnaeus, 1758)",2.03203,46.08859,"France","Limousin",NA,2024,"HUMAN_OBSERVATION","198122278","iNaturalist",NA,3,54365,10.9323740784369,8.76928313554555,487.979378511851,21.4832264536078,1153.89603529171
165,"Salamandra salamandra (Linnaeus, 1758)",-7.91772,38.27606,"Portugal","Beja",NA,2024,"HUMAN_OBSERVATION","198203143","iNaturalist",NA,4,65865,18.0106004964422,9.33848946791569,585.138456455199,24.9737965880961,482.941131499381
171,"Salamandra salamandra gallaica López-Seoane, 1885",-9.23727,39.25531,"Portugal","Lisboa",NA,2024,"HUMAN_OBSERVATION","202290616","iNaturalist",NA,14,64422,17.1659379863627,5.33718828782493,364.237023953203,15.5298722466481,570.891742606286
172,"Salamandra salamandra (Linnaeus, 1758)",15.06126,50.7927,"Czechia","Liberecký",NA,2024,"HUMAN_OBSERVATION","204014435","iNaturalist",NA,17,47911,9.82526145232677,8.41627905678243,644.821356444573,24.7422615571306,831.92983789695
173,"Salamandra salamandra terrestris Lacépède, 1788",6.66434,45.57813,"France","Rhône-Alpes",NA,2024,"HUMAN_OBSERVATION","205489781","iNaturalist",NA,15,55094,7.46551930693112,8.82322184297526,577.834897189695,24.4363137944536,1360.24493854685
183,"Salamandra salamandra (Linnaeus, 1758)",-8.46862,42.33577,"Spain","Pontevedra","Fornelos de Montes",2024,"HUMAN_OBSERVATION","OBS.295999702",NA,NA,3,60104,13.1824702798273,9.6118059493973,428.739885382699,21.8696412213963,1294.55371901974
197,"Salamandra salamandra (Linnaeus, 1758)",-5.38476,36.71159,"Spain","Cádiz","Villaluenga del Rosario",2024,"HUMAN_OBSERVATION","OBS.297710636",NA,NA,5,68030,18.6584130693007,6.46823334655143,540.621336332871,20.9461536936405,339.394235396483
223,"Salamandra salamandra (Linnaeus, 1758)",8.50406,47.2899,"Switzerland",NA,"UTM25_32T_0450_5225",2024,"HUMAN_OBSERVATION","-1741183438","naturgucker",NA,25,52938,6.9977281572682,8.3474904023084,572.306219144074,23.5750507353453,1307.88535339014
226,"Salamandra salamandra (Linnaeus, 1758)",8.68718,48.98767,"Germany",NA,"TK25 Blatt 7018/1 - Göbrichen / Neulingen",2024,"HUMAN_OBSERVATION","1556427136","naturgucker",NA,25,50778,10.6719792386818,7.60454749712174,584.51486339067,22.4817224459525,1117.38290335445
229,"Salamandra salamandra (Linnaeus, 1758)",8.968,49.662,"Germany",NA,"TK25 Blatt 6319/2 - Odenwald / Erbach / Michelstadt",2024,"HUMAN_OBSERVATION","2062277835","naturgucker",NA,25,49338,10.2528295179735,7.76405373319892,567.68610392905,22.2572283022453,1043.13048250106
234,"Salamandra salamandra terrestris Lacépède, 1788",4.92655,47.42282,"France","Bourgogne",NA,2024,"HUMAN_OBSERVATION","198169308","iNaturalist",NA,3,52930,11.0443957886553,8.90328005288736,517.914590072865,22.1382436274245,1117.29091795581
249,"Salamandra salamandra terrestris Lacépède, 1788",-0.7985,45.08037,"France","Aquitaine",NA,2024,"HUMAN_OBSERVATION","198228738","iNaturalist",NA,42,55799,14.7998544512022,5.57949870958033,404.745720451603,16.62695277119,993.837630417686
252,"Salamandra salamandra terrestris Lacépède, 1788",3.20426,48.91737,"France","Île-de-France",NA,2024,"HUMAN_OBSERVATION","198246577","iNaturalist",NA,11,50767,11.6057582500793,8.26815494757813,504.259515175902,21.1211397357554,1051.42405307715
255,"Salamandra salamandra (Linnaeus, 1758)",-8.82661,39.83456,"Portugal","Leiria",NA,2024,"HUMAN_OBSERVATION","198287859","iNaturalist",NA,8,63703,16.5136041698034,8.39564991773464,447.907940705204,20.9561985003524,703.402134201898
258,"Salamandra salamandra terrestris Lacépède, 1788",10.73217,52.20774,"Germany","Niedersachsen",NA,2024,"HUMAN_OBSERVATION","198329417","iNaturalist",NA,9,45742,10.4525064507313,7.92250224432662,600.198502757798,23.0604357540378,886.731235734003
267,"Salamandra salamandra terrestris Lacépède, 1788",9.50584,52.28354,"Germany","Niedersachsen",NA,2024,"HUMAN_OBSERVATION","198332812","iNaturalist",NA,4,45740,10.4164302882411,7.84829543116644,586.255164654307,22.6894984042414,941.417014680022
279,"Salamandra salamandra terrestris Lacépède, 1788",-3.84405,48.6036,"France","Bretagne",NA,2024,"HUMAN_OBSERVATION","198647753","iNaturalist",NA,90,50753,13.1129235104919,3.38997060564812,355.844649303578,12.9421802573778,1086.28779166529
294,"Salamandra salamandra (Linnaeus, 1758)",-7.18592,40.53998,"Portugal","Guarda",NA,2024,"HUMAN_OBSERVATION","198758505","iNaturalist",NA,1653,62266,13.1027835732993,10.684760312205,561.563288037593,26.6979238486074,990.465802475513
295,"Salamandra salamandra (Linnaeus, 1758)",8.71924,44.67111,"Italy","Piemonte",NA,2024,"HUMAN_OBSERVATION","198803608","iNaturalist",NA,27285,56538,9.96432404472454,9.67594246159235,616.542600106605,25.7988807502736,902.467073889776
296,"Salamandra salamandra (Linnaeus, 1758)",16.03799,48.16119,"Austria","Niederösterreich",NA,2024,"HUMAN_OBSERVATION","198817949","iNaturalist",NA,187,51513,10.0256076614629,9.47711934685947,671.894212419117,26.5641223180858,768.89439060947
297,"Salamandra salamandra (Linnaeus, 1758)",12.39412,47.79116,"Germany","Bayern",NA,2024,"HUMAN_OBSERVATION","198821603","iNaturalist",NA,5,52225,8.14552401748175,8.65305733472413,610.449618626707,24.3612824870001,1044.40819625347
