"scientific_name","longitude","latitude","group"
"Salamandra salamandra (Linnaeus, 1758)",4.76259,49.38266,3
"Salamandra salamandra (Linnaeus, 1758)",-0.95666,43.46073,1
"Salamandra salamandra (Linnaeus, 1758)",20.36976,48.04508,4
"Salamandra salamandra terrestris Lacépède, 1788",8.25475,51.41357,3
"Salamandra salamandra terrestris Lacépède, 1788",-0.55792,44.65176,2
"Salamandra salamandra (Linnaeus, 1758)",22.05694,42.53691,2
"Salamandra salamandra (Linnaeus, 1758)",22.38292,36.96418,2
"Salamandra salamandra (Linnaeus, 1758)",7.87673,50.87373,3
"Salamandra salamandra (Linnaeus, 1758)",8.74159,52.15472,4
"Salamandra salamandra (Linnaeus, 1758)",8.10998,48.65849,3
"Salamandra salamandra terrestris Lacépède, 1788",2.81792,48.45551,3
"Salamandra salamandra (Linnaeus, 1758)",26.19119,42.73096,2
"Salamandra salamandra terrestris Lacépède, 1788",1.95945,43.1407,2
"background",0.25,41.25,2
"background",15.75,40.75,2
"background",2.25,46.75,3
"background",20.75,37.75,2
"background",22.75,39.25,2
"background",18.25,40.75,2
"background",-5.25,36.25,1
"background",7.75,44.25,2
"background",-7.75,38.25,1
"background",15.75,39.25,2
"background",-7.75,37.75,1
"background",7.75,41.75,2
"background",21.75,42.75,2
"background",-4.25,40.75,1
"background",0.75,45.75,2
"background",4.25,43.75,2
"background",-2.25,45.75,1
"background",9.25,49.75,4
"background",5.75,41.25,2
"background",-4.75,44.75,1
"background",5.25,39.75,2
"background",19.75,45.75,2
"background",22.75,45.75,2
"background",15.75,44.75,2
"background",7.25,40.25,2
"background",14.75,43.25,2
"background",5.25,48.75,3
"background",3.25,37.25,2
"background",23.25,40.25,2
"background",23.25,45.75,2
"background",-6.75,36.75,1
"background",19.25,46.25,4
"background",-2.25,41.75,1
"background",-7.25,38.25,1
"background",-0.75,38.75,2
"background",-3.25,41.75,1
"background",18.25,46.75,4
"background",1.75,38.75,2
"background",-5.75,38.25,1
"background",2.25,45.25,2
"background",14.25,51.25,4
"background",16.25,46.25,4
"background",4.25,42.25,2
"background",13.75,42.25,2
"background",3.75,42.25,2
"background",-0.75,43.25,2
"background",8.25,46.25,3
"background",-6.25,44.75,1
"background",-7.25,36.75,1
"background",14.25,41.75,2
"background",2.25,47.25,3
"background",-6.25,40.75,1
"background",14.75,44.25,2
"background",13.75,49.75,4
"background",-4.25,36.25,1
"background",6.75,43.25,2
"background",19.75,48.75,4
"background",12.25,39.75,2
"background",9.75,41.25,2
"background",1.25,44.25,2
"background",9.75,52.25,4
"background",6.25,39.25,2
"background",8.75,41.25,2
"background",16.75,50.25,4
"background",16.25,50.25,4
"background",21.75,37.25,2
"background",-0.75,36.75,2
"background",1.75,48.25,3
"background",8.75,39.75,2
"background",10.75,44.75,2
"background",-3.25,43.25,1
"background",14.25,43.75,2
"background",8.25,49.25,3
"background",17.75,47.75,4
"background",-3.25,46.25,3
"background",0.25,44.75,2
"background",10.25,42.75,2
"background",4.75,37.25,2
"background",8.75,50.25,4
"background",1.75,47.75,3
"background",3.75,39.75,2
"background",4.75,44.25,2
"background",10.25,48.75,4
"background",12.25,50.75,4
"background",6.75,43.75,2
"background",4.75,42.75,2
"background",9.75,37.75,2
"background",18.25,49.25,4
"background",3.25,47.75,3
"background",7.25,38.75,2
"background",5.75,37.75,2
"background",0.25,36.25,2
"background",15.25,39.75,2
"background",6.25,47.75,3
"background",24.25,41.25,2
"background",13.25,39.75,2
"background",5.75,49.75,3
"background",-2.75,41.25,1
"background",9.25,50.75,4
"background",23.75,40.75,2
"background",14.25,46.25,4
"background",8.25,47.75,3
"background",-7.75,43.25,1
"background",14.75,43.75,2
"background",16.75,40.25,2
"background",7.25,38.25,2
"background",17.75,47.25,4
"background",1.25,41.25,2
"background",-1.25,47.25,3
"background",-2.25,39.25,1
"background",-2.75,39.75,1
"background",-1.75,40.25,1
"background",-2.75,48.75,3
"background",-6.25,38.75,1
"background",3.25,44.25,2
"background",15.25,51.25,4
"background",1.25,49.25,3
"background",13.75,44.25,2
"background",7.25,39.75,2
"background",-5.25,46.75,3
"background",12.75,38.75,2
"background",16.75,47.75,4
"background",17.75,41.75,2
"background",16.75,42.25,2
"background",7.25,50.25,3
"background",-3.75,43.75,1
"background",10.75,46.25,4
"background",-6.75,42.75,1
"background",0.25,48.75,3
"background",-9.25,39.75,1
"background",-3.75,47.75,3
"background",3.25,41.25,2
"background",-5.75,41.25,1
"background",17.25,47.75,4
"background",24.75,43.75,2
"background",13.75,48.25,4
"background",-4.75,47.25,3
"background",-3.75,40.25,1
"background",17.75,38.25,2
"background",17.25,40.75,2
"background",15.75,39.75,2
"background",14.25,40.75,2
"background",17.25,40.25,2
"background",-2.75,35.75,1
"background",4.25,45.25,2
"background",21.75,40.75,2
"background",3.75,50.25,3
"background",15.75,47.75,4
"background",8.75,44.75,2
"background",-2.25,46.75,3
"background",-8.75,40.25,1
"background",-3.25,45.75,1
"background",5.25,38.75,2
"background",-1.25,37.25,1
"background",6.25,38.25,2
"background",10.25,46.25,4
"background",-7.25,42.75,1
"background",13.25,42.25,2
"background",22.25,39.25,2
"background",13.25,40.75,2
"background",10.75,47.25,4
"background",-1.25,41.25,1
"background",6.75,47.75,3
"background",-5.25,41.75,1
"background",14.25,37.25,2
"background",17.75,37.25,2
"background",1.25,38.25,2
"background",22.25,45.25,2
"background",-7.75,40.75,1
"background",18.75,48.75,4
"background",-1.75,44.75,1
"background",8.75,52.25,4
"background",-3.25,46.75,3
"background",0.75,36.75,2
"background",20.25,43.25,2
"background",9.25,42.75,2
"background",7.75,39.75,2
"background",23.75,43.75,2
"background",7.75,49.25,3
"background",14.75,49.75,4
"background",-0.25,45.75,2
"background",-0.25,40.75,2
"background",-4.75,42.75,1
"background",19.75,42.25,2
"background",-5.25,38.25,1
"background",-0.75,45.25,2
"background",3.25,38.25,2
"background",7.25,46.25,3
"background",19.25,44.75,2
"background",8.75,42.25,2
"background",1.25,39.25,2
"background",17.75,39.25,2
"background",-3.75,41.75,1
"background",2.75,37.75,2
"background",-8.75,41.25,1
"background",11.75,40.75,2
"background",24.75,40.75,2
"background",16.75,46.75,4
"background",-0.25,36.75,2
"background",4.75,43.25,2
"background",7.75,36.25,2
"background",7.25,36.25,2
"background",9.25,36.75,2
"background",9.75,43.75,2
"background",4.25,46.25,3
"background",20.75,42.75,2
"background",14.25,44.25,2
"background",3.75,37.25,2
"background",-4.25,44.75,1
"background",4.75,39.75,2
"background",-7.75,41.75,1
"background",6.75,46.75,3
"background",15.25,47.25,4
"background",7.75,40.25,2
"background",14.75,39.25,2
"background",19.75,36.75,2
"background",3.75,46.25,3
"background",8.25,47.25,3
"background",13.75,40.75,2
"background",-8.25,43.25,1
"background",1.75,49.75,3
"background",18.25,38.25,2
"background",8.75,48.75,4
"background",17.75,40.25,2
"background",7.25,41.75,2
"background",-1.75,41.75,1
"background",11.75,39.25,2
"background",14.75,37.75,2
"background",17.25,41.25,2
"background",-3.75,39.25,1
"background",16.25,48.75,4
"background",-8.75,39.25,1
"background",0.25,38.75,2
"background",7.75,44.75,2
"background",1.25,36.25,2
"background",7.25,44.25,2
"background",-3.25,44.25,1
"background",8.75,49.25,4
"background",15.25,46.75,4
"background",13.75,47.75,4
"background",11.75,37.25,2
"background",10.25,49.25,4
"background",11.25,38.25,2
"background",13.75,39.75,2
"background",20.75,45.75,2
"background",5.25,42.75,2
"background",20.75,46.75,4
"background",0.25,38.25,2
"background",-4.25,38.75,1
"background",-8.25,40.75,1
"background",-2.75,44.75,1
"background",2.75,50.25,3
"background",2.75,39.25,2
"background",18.75,40.25,2
"background",8.25,48.25,3
"background",17.25,42.75,2
"background",-1.75,47.75,3
"background",5.25,40.25,2
"background",-7.75,42.25,1
"background",20.25,41.25,2
"background",1.25,42.25,2
"background",1.75,43.75,2
"background",2.25,43.25,2
"background",3.75,44.75,2
"background",9.75,43.25,2
"background",17.25,37.25,2
"background",13.75,38.25,2
"background",12.75,36.25,2
"background",14.75,46.75,4
"background",13.75,43.75,2
"background",24.25,42.75,2
"background",4.25,38.25,2
"background",3.25,37.75,2
"background",1.25,47.75,3
"background",6.25,37.25,2
"background",9.75,50.25,4
"background",22.75,41.75,2
"background",0.25,49.25,3
"background",16.75,47.25,4
"background",11.75,44.25,2
"background",14.75,40.75,2
"background",-1.25,48.25,3
"background",3.25,48.75,3
"background",10.25,37.25,2
"background",18.75,46.75,4
"background",-2.25,48.25,3
"background",-1.75,41.25,1
"background",7.25,45.75,2
"background",21.25,44.75,2
"background",-3.25,42.75,1
"background",7.75,48.25,3
"background",8.75,36.75,2
"background",9.25,39.25,2
"background",17.75,46.25,4
"background",14.25,48.75,4
"background",1.75,36.75,2
"background",17.75,44.25,2
"background",-7.75,41.25,1
"background",6.75,48.75,3
"background",22.75,38.25,2
"background",10.25,45.25,2
"background",15.75,49.75,4
"background",22.75,43.25,2
"background",7.75,51.25,3
"background",14.75,44.75,2
"background",4.25,37.75,2
"background",13.25,46.75,4
"background",22.25,42.75,2
"background",11.25,43.75,2
"background",-4.25,47.25,3
"background",5.25,36.75,2
"background",21.25,47.25,4
"background",4.75,45.25,2
"background",18.25,39.75,2
"background",12.75,45.75,2
"background",21.25,37.75,2
"background",-1.75,45.75,1
"background",12.75,41.25,2
"background",-2.25,37.25,1
"background",2.25,50.75,3
"background",1.75,45.25,2
"background",14.25,37.75,2
"background",14.75,47.25,4
"background",9.75,50.75,4
"background",15.75,43.25,2
"background",5.75,47.25,3
"background",19.75,48.25,4
"background",19.25,47.75,4
"background",8.25,40.25,2
"background",-2.25,38.25,1
"background",25.75,41.75,2
"background",6.75,44.75,2
"background",-6.25,42.25,1
"background",0.75,48.25,3
"background",-1.25,37.75,1
"background",11.25,44.75,2
"background",-8.25,36.75,1
"background",14.25,39.75,2
"background",21.25,39.25,2
"background",23.25,42.75,2
"background",-4.75,36.25,1
"background",20.25,44.25,2
"background",14.25,50.75,4
"background",5.75,39.75,2
"background",-4.25,43.75,1
"background",6.25,40.25,2
"background",10.25,44.75,2
"background",4.25,46.75,3
"background",-7.25,39.25,1
"background",7.25,47.75,3
"background",-0.25,43.25,2
"background",5.25,43.75,2
"background",10.75,40.75,2
"background",5.75,38.75,2
"background",-7.75,38.75,1
"background",15.25,45.75,2
"background",12.75,40.75,2
"background",8.25,41.25,2
"background",19.25,43.25,2
"background",-7.75,44.25,1
"background",23.25,40.75,2
"background",-1.25,42.25,1
"background",13.25,41.25,2
"background",22.75,42.75,2
"background",-2.25,45.25,1
"background",17.75,39.75,2
"background",19.75,41.25,2
"background",11.25,40.75,2
"background",19.75,45.25,2
"background",11.25,37.75,2
"background",22.75,46.25,4
"background",21.75,44.25,2
"background",18.25,43.75,2
"background",-4.25,36.75,1
"background",6.75,51.25,3
"background",5.75,39.25,2
"background",19.75,38.75,2
"background",4.25,43.25,2
