system:index,bio01,bio02,bio04,bio05,bio06,bio12,bio15,coordinat0,coordinat1,dem,gbifID,taxonKey,X,Y
000000000000000003d4,11.0324220657349,1.13886713981628,94.1158981323242,2.97382807731628,-0.795468747615814,1027.38671875,19.984375,10,,249.452041625977,4500474564,3189866,-86.1551698965353,39.6084020991363
000000000000000003dc,7.447265625,0.870664060115814,105.701759338379,2.74503898620605,-1.04515624046326,499.47265625,21.94140625,10,,148.95166015625,4464788312,3189866,39.8333682063836,49.3154816097973
428,14.4519529342651,1.32554686069489,77.1001205444336,3.12855458259583,-0.286875009536743,1416.55859375,14.83203125,10,,269.221771240234,4421189767,3189866,-84.8670381615191,35.1679891382054
0000000000000000045c,6.59843730926514,1.23835933208466,113.937347412109,2.86468744277954,-1.70062494277954,805.73828125,48.09375,10,,311.379547119141,4416732399,3189866,-92.0993611785282,44.8958213051692
476,8.62812519073486,0.854960918426514,94.6027374267578,2.724609375,-0.759101569652557,484.37890625,26.41015625,10,,122.470184326172,4414001239,3189866,32.2748619473149,47.8795797249709
483,7.15664052963257,0.850000023841858,89.0030059814453,2.41792964935303,-0.912773430347443,639.08984375,34.57421875,10,,195.283752441406,4413763203,3189866,28.7680019238324,51.3088915220329
487,4.92851543426514,0.9100781083107,105.111877441406,2.38539052009583,-1.54628908634186,784.7265625,63.4453125,10,,179.472427368164,4413621228,3189866,135.4586609836,43.9562485812987
0000000000000000048c,7.83867168426514,0.829726576805115,78.8654708862305,2.37386727333069,-0.640664041042328,496.1328125,38.171875,10,,87.1371917724609,4413503850,3189866,21.0632906594233,52.2583099410295
494,6.29804706573486,0.846093773841858,102.060821533203,2.4928514957428,-1.15972661972046,566.62109375,24.70703125,10,,196.732543945313,4407499619,3189866,37.42721944154,50.9314598315661
499,3.57460927963257,1.60175776481628,83.0101547241211,2.59101557731628,-1.42957031726837,420.12109375,14.03125,10,,2180.34008789063,4407393920,3189866,-111.349148816818,41.1744294709043
000000000000000004ac,9.34335899353027,1.15156245231628,96.2005462646484,2.87796878814697,-0.972187519073486,961.6796875,21.89453125,10,,257.392272949219,4407256441,3189866,-85.6320415382482,41.0778096692783
000000000000000004ad,16.9847660064697,1.23441410064697,93.1570739746094,3.84195303916931,-0.00175781245343387,760.66015625,85.58984375,10,,834.209106445313,4407256005,3189866,42.8666494024849,36.8585101522846
000000000000000004bf,9.03281211853027,1.79292964935303,72.9060974121094,2.85621094703674,-0.982382833957672,413.6171875,73.62109375,10,,2039.24401855469,4407059461,3189866,-105.225041725521,35.5956080110287
000000000000000004cc,5.89218759536743,1.29675781726837,80.4663696289063,2.68222665786743,-1.00074219703674,494.21484375,24.88671875,10,,924.146362304688,4405307363,3189866,-114.338258157884,48.1826603644726
000000000000000004d2,12.5660152435303,1.24585938453674,85.044921875,3.05523443222046,-0.532773435115814,1141.4609375,15.98046875,10,,216.755462646484,4405228933,3189866,-84.8403504417142,38.1829300516738
40,6.28945302963257,0.771328151226044,69.4058609008789,2.16722655296326,-0.603124976158142,561.7265625,27.03515625,10,,118.284553527832,4401565312,3189866,15.5535986431793,58.4085607418031
